,Train_loss,Train_binary_acc,Train_precision,Train_recall,Train_f1,Valid_loss,Valid_binary_acc,Valid_precision,Valid_recall,Valid_f1,Best_epoch
0,0.4023594532559226,0.9971264367816092,1.0,0.9947368421052631,0.9973614775725593,0.144310363896377,1.0,1.0,1.0,1.0,0
1,0.14920735277761024,0.9971264367816092,1.0,0.9947368421052631,0.9973614775725593,0.08418730231570667,1.0,1.0,1.0,1.0,0
2,0.13026821301027333,0.9971264367816092,1.0,0.9947368421052631,0.9973614775725593,0.0717428193381863,1.0,1.0,1.0,1.0,0
3,0.10474553977802195,0.9971264367816092,1.0,0.9947368421052631,0.9973614775725593,0.06557572253419336,1.0,1.0,1.0,1.0,0
4,0.08755977022308417,1.0,1.0,1.0,1.0,0.048875385499688104,1.0,1.0,1.0,1.0,0
5,0.06761058653831892,1.0,1.0,1.0,1.0,0.05096120760958886,1.0,1.0,1.0,1.0,0
6,0.03971332289546064,1.0,1.0,1.0,1.0,0.05029306114675929,1.0,1.0,1.0,1.0,0
7,0.031628918545149945,1.0,1.0,1.0,1.0,0.03550268045389294,1.0,1.0,1.0,1.0,0
8,0.02750093942488813,1.0,1.0,1.0,1.0,0.03285917417143155,1.0,1.0,1.0,1.0,0
9,0.024527833623990133,1.0,1.0,1.0,1.0,0.02871821770764197,1.0,1.0,1.0,1.0,0
